Arabic,English,Dutch
أشارَ، يُشيرُ، الإشارة,"to indicate, mention, cite, refer to إلى something","iets aangeven, vermelden, citeren, ernaar verwijzen"
جِهة; جِهات,"side; direction; part, party; sector, office, institution","zijde; richting; deel, partij; sector, kantoor, instelling"
جِهات,"entities, parties, individuals, “players”","entiteiten, partijen, individuen, “spelers”"
نَحوَ,"towards, approximately","richting, ongeveer"
طَويلاً,"for a long time, extensively","gedurende lange tijd, uitgebreid"
كَذَلِكَ,"likewise, also","eveneens, ook"
حاوَلَ,"to attempt, try to do something","een poging wagen, iets proberen te doen"
قَوْل، أقوال,"statement, remark; saying, utterance","uitspraak, opmerking; gezegde, uiting"
اِمرَأة/المَرأة,"woman, wife","vrouw, echtgenote"
حَقيقة، حَقائِق,"truth, reality; fact","waarheid, werkelijkheid; feit"
جَعَلَ، يَجعَلُ، الجِعل,to make somebody/something do something (imperfect); to cause somebody/something to be something; to appoint somebody; to begin to do something (imperfect),iemand/iets iets laten doen (onvoltooid); ervoor zorgen dat iemand/iets iets wordt; iemand aanstellen; beginnen met iets te doen (onvoltooid)
لَمّا,"when, after","toen, na"
سَأَلَ، يَسألُ,to ask somebody (في/عن about; إذا/إنْ whether); to request from somebody (أنْ to do something); to pray to (God),iemand vragen (في/عن over; إذا/إنْ of); verzoeken aan iemand (أنْ iets doen); bidden tot (God)
عاشَ، يَعيشُ، العِيْش,"to live, be alive, to experience something","leven, in leven zijn, iets ervaren"
مُواطِن ون,"citizen, compatriot","burger, landgenoot"
سُلطة، سُلُطات,"power, rule, authority","macht, heerschappij, autoriteit"
سُلُطات,"authorities, people in power","autoriteiten, mensen aan de macht"
بَدا، يَبدو,"to appear, seem (ل to somebody, أنّ that); to look, seem (big, small, happy, sad, etc)","lijken, verschijnen (ل voor iemand, أنّ dat); eruitzien, lijken (groot, klein, blij, verdrietig, enz.)"
على ما يَبدو/كَما يَبدو,"evidently, apparently, it seems","kennelijk, blijkbaar, het lijkt"
اِقتِصاديّ,"economic, economical","economisch, economisch"
بَحْث، أبحاث,"search (عن for); discussion (في of); research, examination (في of)","zoeken (عن naar); discussie (في van); onderzoek, onderzoek (van)"
دين، أديان,religion,religie
حَمَلَ، يَحمِلُ، الحَمَل,"to carry, bear something; to transport (cargo); to become pregnant, to attack على something, campaign على against","iets dragen, vervoeren; vracht vervoeren; zwanger worden, iets aanvallen, een campagne voeren tegen"
عَسكَريّ,military; solider,militair; soldaat
كَم,how many/much,hoeveel/veel
جَيْش، جُيوش,army; armed forces; troops,leger; strijdkrachten; troepen
جِهاز، أجهِزة,"apparatus, machine; device, appliance; organization; agency, bureau, office","apparaat, machine; toestel, apparaat; organisatie; agentschap, bureau, kantoor"
مُشارَكة,"participation, association","deelname, vereniging"
طَبْع,"nature, character; printing","aard, karakter; drukwerk"
طَبعاً/بالطَّبع,"of course, naturally","natuurlijk, vanzelfsprekend"
اِعتَبَرَ,to consider something/somebody to be; to regard somebody/something as; to believe أنّ that,iets/iemand als zodanig beschouwen; iemand/iets als zodanig zien; geloven dat
أحَبَّ,"to love, like somebody; to want, like something or to do something","liefhebben, zoals iemand; iets willen, zoals iets, of iets willen doen"
أتى,to come إلى to something; to come to somebody; to bring ب something,tot iets komen; naar iemand toe komen; iets brengen
خَرَجَ، يَخرُجُ، الجُروج,"to exit, go out من/عن from; to leave من (a place); to deviate عن from","verlaten, weggaan; een plaats verlaten; afwijken van"
أعطى,"to give, provide something to somebody or ل to somebody","iets aan iemand geven, iets aan iemand verstrekken of iemand iets geven"
حَبيب، أحباب/أحِبّة,"dear, darling, beloved, sweetheart","lieve, schat, geliefde, lieverd"
فَوْقْ,"top, upper part","bovenkant, bovenste deel"
فَوْقَ,"above, over","boven, over"
خارِِجْ,"outside, outer part, exterior","buitenkant, buitenste deel, exterieur"
خارِجَ,outside of,buiten
في الخارِج/بالخارِج,"overseas, abroad","overzee, buitenland"
خارِجاً,outside,buiten
مَثَل، أمثال,example; proverb,voorbeeld; spreekwoord
مَثَلاً,for example,Bijvoorbeeld
رَقْم، أرقام,"number, numeral, figure; rate; record","getal, cijfer, cijfer; percentage; registratie"
ضِدّْ,opposite,tegenovergestelde
ضِدَّ,against,tegen
جَرى، يَجرى، الجَري,"to occur, take place, to happen ل to somebody; to flow, run (liquid); to run (person) وراء after somebody","gebeuren, plaatsvinden, plaatsvinden ل naar iemand; stromen, lopen (vloeistof); rennen (persoon) وراء achter iemand aan"
مَسؤول,"official, functionary; employer, boss, supervisor; responsible, dependable","ambtenaar, functionaris; werkgever, baas, leidinggevende; verantwoordelijk, betrouwbaar"
بَعيد، بِعاد,"distant, far, remote","ver, veraf, afgelegen"
بَعيداً عن,far away from,ver weg van
كَبَبَ,to write something,iets schrijven
كُتِبَ لَهُ,to be granted (success),toegekend krijgen (succes)
كُتِبَ عليهِ أنْ,to be destined (by God) to,voorbestemd te zijn (door God) om
حين، أحيان,"time, moment, opportunity","tijd, moment, kans"
وَضَعَ، يَضَعُ، الوَضَع,"to put, place something في/على/تحت inside/on/under; to lay down (rules, conditions); to lay (an egg); to give birth to (a child); to write, compile, draft, compose something","iets plaatsen, neerzetten في/على/تحت binnenin/op/onder; regels, voorwaarden vaststellen; een ei leggen; een kind baren; iets schrijven, samenstellen, ontwerpen, componeren"
نائِب، نُوّاب,"deputy, delegate, vice-","plaatsvervanger, afgevaardigde, vice-"
خاصّةً,"especially, particularly","vooral, in het bijzonder"
الخاصّة,"the elite, the upper-class","de elite, de hogere klasse"
وَلَد، أوْلاد,"child, son, boy","kind, zoon, jongen"
دَم، دِماء,blood,bloed
صَحيح,"true, correct; sound, healthy; authentic (Hadith); yes, right","waar, correct; degelijk, gezond; authentiek (Hadith); ja, juist"
صَحيحاً,"really, truly","echt, werkelijk"
مَرحَلة، مَراحِل,"phase, stage, step; (sports) round","fase, stadium, stap; (sport) ronde"
اِجتِماعيّ,social,sociaal
حَديث، أحاديث,"discussion, conversation, talk; story, interview; Hadith","discussie, gesprek, praatje; verhaal, interview; Hadith"
سِياسة; سِياسات,politics; (plural) policy,politiek; (mv) beleid
طَرَف، أطراف,"edge, side; tip, end; extremity (body limb); participant, player, party, team","rand, zijkant; punt, uiteinde; uiteinde (lichaamsdeel); deelnemer, speler, partij, team"
وَطَن، أوْطان,"nation, homeland","natie, vaderland"
رُبَّما/لَرُبَّما,"perhaps, maybe","misschien, wellicht"
قَليل,"few, small amount","weinig, kleine hoeveelheid"
قَليلاً,"a little, somewhat; briefly, shortly","een beetje, enigszins; kort, even"
عَلِمَ,to know something or أنّ that; of find out أنّ that,iets weten of أنّ dat; erachter komen أنّ dat
حَتّى,"even, including; although, even though","zelfs, inclusief; hoewel, ook al"
مُدير,"director, manager; (office) boss, chief","directeur, manager; (kantoor)baas, chef"
نِهاية,"end, finish; termination, ending","einde, voltooiing; beëindiging, einde"
إضافة,addition,toevoeging
بالإضافة إلى,in addition to,bovendien
واقِع,"reality, fact; actual situation; falling (date), occurring (time); located, found, situated (place)","werkelijkheid, feit; feitelijke situatie; vallend (datum), plaatsvindend (tijd); gelegen, gevonden, gesitueerd (plaats)"
كامِل,"complete, full; integral, perfect","compleet, vol; integraal, perfect"
بالكامِل,completely,volledig
عَبرَ,"across, over, via; through, by means of","over, via; door, door middel van"
شَرق,east,oosten
شَرقاً,eastward,oostwaarts
ظَلَّ، يَظُلُّ,"to stay, remain; to continue to be; (imperfect) to keep on doing","blijven, voortduren; blijven bestaan; (onvoltooid) doorgaan met doen"
تَعليم,"education, teaching; instruction","onderwijs, lesgeven; instructie"
تَعليمات,"instructions, guidelines","instructies, richtlijnen"
تَعاليم,precepts,voorschriften
روح، أرواح,"spirit, should; life","geest, zou moeten; leven"
أفضَل,better/best,beter/beste
مال,"money, capital","geld, kapitaal"
أموال,"assets, funds, monies","bezittingen, fondsen, geld"
لَيْلٍ/اللَّيْلي,"night, night-time","nacht, nachtelijke uren"
لَيْلاً,by night,s nachts
لَيْلاً ونَهاراً,day and night,dag en nacht
أُسبوع، أسابيع,week,week
مُؤْتَمَر; مُؤْتَمَرات,"conferences, congress, convention","conferenties, congres, conventie"
لِقاء; لِقاءات,"meeting, encounter; interview","ontmoeting, ontmoeting; interview"
رَدَّ، يَرُدُّ، الرَّدّ,"to answer على somebody, to respond على to something/somebody; to return, reciprocate (a favor)","antwoord geven aan iemand, reageren op iets/iemand; iets teruggeven, een gunst vergelden"
كَي/لِكَي,"in order to, so that","om, zodat"
بِناء,"building, constructing, erecting; structure, building, edifice","bouwen, construeren, oprichten; structuur, gebouw, bouwwerk"
بِناء على,"based on, according to","gebaseerd op, volgens"
طَريقة,"method, procedure, way","methode, procedure, manier"
أعلى/عُليا,"higher/highest; advanced, superior","hoger/hoogst; geavanceerd, superieur"
أعلاه,"above (mentioned), aforementioned","hierboven (vermeld), eerdergenoemd"
مُمكِن,possible,mogelijk
دَعم,"support, assistance, bolstering, promotion","ondersteuning, hulp, versterking, promotie"
مَصدَر، مًصادِر,source,bron
حَدَثَ، يَحدُثُ,"to happen, occur, take place","gebeuren, plaatsvinden"
لَحظة، لَحَظات,"moment, instant","moment, ogenblik"
فُرصة، فُرَص,"chance, opportunity","kans, gelegenheid"
نادي، أندية,"club, association","club, vereniging"
مَعلومات,"information, data","informatie, gegevens"
هَيئة; هَيئات,"agency, organization; outward appearance, look","agentschap, organisatie; uiterlijk, verschijning"
قِصّة، قِصَص,"story, tale","verhaal, vertelling"
بِداية; بِدايات,"beginning, start; starting point","begin, start; beginpunt"
بِدايات,"origins, early history","oorsprong, vroege geschiedenis"
جُنوب,"south, southern part","zuid, zuidelijk deel"
دَرى، يَدري,"to know, be aware of something or ب something or أنّ","weten, zich bewust zijn van iets of ب iets of أنّ"
دَعا، يَدعو، الدَعوة,to call إلى for something; to call (upon) somebody إلى to do something; to invite somebody إلى to or to do something,iemand oproepen om iets te doen; iemand oproepen om iets te doen; iemand uitnodigen om iets te doen.
مُباراة، مُبَريات,"game, match, bout; competition","wedstrijd, duel, gevecht; competitie"
إذ,"as, since, seeing that; while, when","aangezien, omdat, aangezien; terwijl, wanneer"
إذ أنّ,"since, given that","aangezien, gezien het feit dat"
اِعتَقَدَ,"to believe في in something, or بأنّ/أنّ that","geloven في in iets, of بأنّ/أنّ dat"
ِحًسًب/بِحًسًبِ/على حًسًب,according to,volgens
دَقيقة، دَقائِق,minute,minuut
مَلِك، مُلوك,king,koning
أعلَنَ,"to announce, declare, proclaim (عن) something or أنّ that","aankondigen, verklaren, verkondigen (عن) iets of أنّ dat"
قيمة,"value, worth, importance","waarde, betekenis, belang"
قِيَم,"values, morals, ethics","waarden, moraal, ethiek"
لاعِب,"player, athlete; playing","speler, atleet; spelen"
أدّى، يُؤدّي,"to cause, produce إلى something; to lead, direct, guide ب somebody إلى to; to perform (function), to carry out (duty, mission); to take (test, oath)","iets veroorzaken, voortbrengen; iemand leiden, sturen, begeleiden; een functie vervullen, een taak uitvoeren, een missie volbrengen; een test afleggen, een eed afleggen."
مادّة، مَوادّ,"substance, material; subject matter, topic; (school) course, subject; article, paragraph; material things, money","substantie, materiaal; onderwerp, thema; (school)cursus, vak; artikel, alinea; materiële zaken, geld"
خَظ، خُظوظ,"line; phone line; air route; airline (company); handwriting; script, calligraphy","lijn; telefoonlijn; luchtroute; luchtvaartmaatschappij; handschrift; schrift, kalligrafie"
عَرْض، عُروض,"show, display presentation; offer, tender; width, breadth","tonen, presentatie; aanbieden, aanbesteding; breedte, omvang"
رِسالة، رَسائِل,"letter, missive; message, communication; dissertation, thesis","brief, bericht; boodschap, communicatie; dissertatie, scriptie"
